trans_date,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
2017-09-05,3,WITHDRAWAL,2400.0,2400.0,1.0
2017-10-05,3,WITHDRAWAL,6900.0,6900.0,1.0
2017-11-04,3,WITHDRAWAL,7400.0,7400.0,1.0
2017-11-30,3,WITHDRAWAL,14.6,14.6,1.0
2017-12-01,3,WITHDRAWAL,2400.0,2414.6,2.0
2017-12-04,3,WITHDRAWAL,4700.0,7114.6,3.0
2017-12-06,3,WITHDRAWAL,1135.0,5835.0,2.0
2017-12-07,3,WITHDRAWAL,327.0,6162.0,3.0
2017-12-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2017-12-28,3,WITHDRAWAL,2560.0,2560.0,1.0
2017-12-31,3,WITHDRAWAL,14.6,2574.6,2.0
2018-01-03,3,WITHDRAWAL,2040.0,2054.6,2.0
2018-01-03,3,WITHDRAWAL,3600.0,5654.6,3.0
2018-01-04,3,WITHDRAWAL,1560.0,7214.6,4.0
2018-01-06,3,WITHDRAWAL,1135.0,8335.0,4.0
2018-01-07,3,WITHDRAWAL,327.0,8662.0,5.0
2018-01-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-01-10,3,WITHDRAWAL,1320.0,6321.0,4.0
2018-01-22,3,WITHDRAWAL,3360.0,3360.0,1.0
2018-01-29,3,WITHDRAWAL,2280.0,2280.0,1.0
2018-01-30,3,WITHDRAWAL,2760.0,5040.0,2.0
2018-01-31,3,WITHDRAWAL,14.6,5054.6,3.0
2018-02-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-02-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-02-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-02-28,3,WITHDRAWAL,14.6,14.6,1.0
2018-03-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-03-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-03-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-03-31,3,WITHDRAWAL,14.6,14.6,1.0
2018-04-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-04-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-04-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-04-22,3,WITHDRAWAL,3120.0,3120.0,1.0
2018-04-30,3,WITHDRAWAL,14.6,14.6,1.0
2018-05-03,3,WITHDRAWAL,800.0,814.6,2.0
2018-05-06,3,WITHDRAWAL,1135.0,1935.0,2.0
2018-05-07,3,WITHDRAWAL,327.0,2262.0,3.0
2018-05-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-05-31,3,WITHDRAWAL,14.6,14.6,1.0
2018-06-02,3,WITHDRAWAL,4400.0,4414.6,2.0
2018-06-06,3,WITHDRAWAL,1135.0,5535.0,2.0
2018-06-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-06-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-06-30,3,WITHDRAWAL,14.6,14.6,1.0
2018-07-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-07-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-07-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-07-31,3,WITHDRAWAL,14.6,14.6,1.0
2018-08-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-08-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-08-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-08-31,3,WITHDRAWAL,14.6,14.6,1.0
2018-08-31,3,WITHDRAWAL,200.0,214.6,2.0
2018-09-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-09-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-09-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-09-30,3,WITHDRAWAL,14.6,14.6,1.0
2018-10-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-10-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-10-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-10-31,3,WITHDRAWAL,14.6,14.6,1.0
2018-11-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-11-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-11-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-11-11,3,WITHDRAWAL,2400.0,6266.0,3.0
2018-11-30,3,WITHDRAWAL,14.6,14.6,1.0
2018-12-06,3,WITHDRAWAL,1135.0,1135.0,1.0
2018-12-07,3,WITHDRAWAL,327.0,1462.0,2.0
2018-12-09,3,WITHDRAWAL,3539.0,5001.0,3.0
2018-12-24,3,WITHDRAWAL,2560.0,2560.0,1.0
2016-07-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2016-07-20,4,WITHDRAWAL,1900.0,1900.0,1.0
2016-07-31,4,WITHDRAWAL,14.6,14.6,1.0
2016-08-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2016-08-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2016-08-19,4,WITHDRAWAL,4100.0,4100.0,1.0
2016-08-31,4,WITHDRAWAL,14.6,14.6,1.0
2016-09-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2016-09-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2016-09-18,4,WITHDRAWAL,3300.0,3300.0,1.0
2016-09-30,4,WITHDRAWAL,14.6,14.6,1.0
2016-10-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2016-10-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2016-10-31,4,WITHDRAWAL,14.6,14.6,1.0
2016-11-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2016-11-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2016-11-30,4,WITHDRAWAL,14.6,14.6,1.0
2016-12-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2016-12-12,4,WITHDRAWAL,3040.0,3040.0,1.0
2016-12-13,4,WITHDRAWAL,1285.0,4325.0,2.0
2016-12-20,4,WITHDRAWAL,1450.0,1450.0,1.0
2016-12-31,4,WITHDRAWAL,14.6,14.6,1.0
2017-01-01,4,WITHDRAWAL,560.0,574.6,2.0
2017-01-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-01-09,4,WITHDRAWAL,400.0,2478.0,2.0
2017-01-12,4,WITHDRAWAL,3550.0,3950.0,2.0
2017-01-13,4,WITHDRAWAL,1285.0,5235.0,3.0
2017-01-16,4,WITHDRAWAL,2000.0,6835.0,3.0
2017-01-26,4,WITHDRAWAL,1520.0,1520.0,1.0
2017-01-27,4,WITHDRAWAL,1840.0,3360.0,2.0
2017-01-28,4,WITHDRAWAL,1360.0,4720.0,3.0
2017-01-31,4,WITHDRAWAL,14.6,3214.6,3.0
2017-02-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-02-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-02-28,4,WITHDRAWAL,14.6,14.6,1.0
2017-03-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-03-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-03-16,4,WITHDRAWAL,1760.0,3045.0,2.0
2017-03-31,4,WITHDRAWAL,14.6,14.6,1.0
2017-04-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-04-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-04-30,4,WITHDRAWAL,14.6,14.6,1.0
2017-05-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-05-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-05-27,4,WITHDRAWAL,1680.0,1680.0,1.0
2017-05-28,4,WITHDRAWAL,640.0,2320.0,2.0
2017-05-31,4,WITHDRAWAL,14.6,2334.6,3.0
2017-06-02,4,WITHDRAWAL,5250.0,5264.6,2.0
2017-06-06,4,WITHDRAWAL,2078.0,7328.0,2.0
2017-06-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-06-30,4,WITHDRAWAL,14.6,14.6,1.0
2017-07-06,4,WITHDRAWAL,2078.0,2078.0,1.0
2017-07-13,4,WITHDRAWAL,1285.0,1285.0,1.0
2017-07-31,4,WITHDRAWAL,14.6,14.6,1.0
