trans_date,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
2015-06-06,19,WITHDRAWAL,2900.0,2900.0,1.0
2015-07-06,19,WITHDRAWAL,13700.0,13700.0,1.0
2015-08-05,19,WITHDRAWAL,15200.0,15200.0,1.0
2015-08-09,19,WITHDRAWAL,2800.0,18000.0,2.0
2015-08-31,19,WITHDRAWAL,14.6,14.6,1.0
2015-09-04,19,WITHDRAWAL,8000.0,8014.6,2.0
2015-09-13,19,WITHDRAWAL,15000.0,15000.0,1.0
2015-09-23,19,WITHDRAWAL,2800.0,2800.0,1.0
2015-09-30,19,WITHDRAWAL,14.6,14.6,1.0
2015-10-10,19,WITHDRAWAL,3000.0,3000.0,1.0
2015-10-10,19,WITHDRAWAL,13200.0,16200.0,2.0
2015-10-31,19,WITHDRAWAL,14.6,14.6,1.0
2015-11-05,19,WITHDRAWAL,16800.0,16800.0,1.0
2015-11-12,19,WITHDRAWAL,2100.0,2100.0,1.0
2015-11-29,19,WITHDRAWAL,2700.0,2700.0,1.0
2015-11-29,19,WITHDRAWAL,16700.0,19400.0,2.0
2015-11-30,19,WITHDRAWAL,14.6,19414.6,3.0
2015-12-19,19,WITHDRAWAL,2700.0,2700.0,1.0
2015-12-31,19,WITHDRAWAL,1600.0,1600.0,1.0
2015-12-31,19,WITHDRAWAL,14.6,1614.6,2.0
2016-01-10,19,WITHDRAWAL,4800.0,4800.0,1.0
2016-01-12,19,WITHDRAWAL,2100.0,6900.0,2.0
2016-01-15,19,WITHDRAWAL,16300.0,18400.0,2.0
2016-01-30,19,WITHDRAWAL,14200.0,14200.0,1.0
2016-01-31,19,WITHDRAWAL,14.6,14214.6,2.0
2016-02-10,19,WITHDRAWAL,1800.0,1800.0,1.0
2016-02-29,19,WITHDRAWAL,14.6,14.6,1.0
2016-03-07,19,WITHDRAWAL,2300.0,2300.0,1.0
2016-03-16,19,WITHDRAWAL,17000.0,17000.0,1.0
2016-03-24,19,WITHDRAWAL,2000.0,2000.0,1.0
2016-03-31,19,WITHDRAWAL,14.6,14.6,1.0
2016-04-06,19,WITHDRAWAL,18200.0,18200.0,1.0
2016-04-30,19,WITHDRAWAL,14.6,14.6,1.0
2016-05-01,19,WITHDRAWAL,700.0,714.6,2.0
2016-05-12,19,WITHDRAWAL,2500.0,2500.0,1.0
2016-05-16,19,WITHDRAWAL,11500.0,14000.0,2.0
2016-05-31,19,WITHDRAWAL,14.6,14.6,1.0
2016-06-12,19,WITHDRAWAL,2500.0,2500.0,1.0
2016-06-17,19,WITHDRAWAL,13800.0,13800.0,1.0
2016-06-30,19,WITHDRAWAL,14.6,14.6,1.0
2016-07-09,19,WITHDRAWAL,16800.0,16800.0,1.0
2016-07-12,19,WITHDRAWAL,2500.0,19300.0,2.0
2016-07-31,19,WITHDRAWAL,15500.0,15500.0,1.0
2016-07-31,19,WITHDRAWAL,14.6,15514.6,2.0
2016-08-12,19,WITHDRAWAL,2523.2,2523.2,1.0
2016-08-31,19,WITHDRAWAL,14.6,14.6,1.0
2016-09-08,19,WITHDRAWAL,13300.0,13300.0,1.0
2016-09-12,19,WITHDRAWAL,2523.2,15823.2,2.0
2016-09-28,19,WITHDRAWAL,1700.0,1700.0,1.0
2016-09-30,19,WITHDRAWAL,14.6,1714.6,2.0
2016-10-11,19,WITHDRAWAL,15900.0,15900.0,1.0
2016-10-12,19,WITHDRAWAL,2523.2,18423.2,2.0
2016-10-31,19,WITHDRAWAL,14.6,14.6,1.0
2016-11-04,19,WITHDRAWAL,13200.0,13214.6,2.0
2016-11-12,19,WITHDRAWAL,2523.2,2523.2,1.0
2016-11-30,19,WITHDRAWAL,14.6,14.6,1.0
2016-12-11,19,WITHDRAWAL,2700.0,2700.0,1.0
2016-12-12,19,WITHDRAWAL,2523.2,5223.2,2.0
2016-12-15,19,WITHDRAWAL,17200.0,22423.2,3.0
2016-12-27,19,WITHDRAWAL,2300.0,2300.0,1.0
2016-12-31,19,WITHDRAWAL,14.6,2314.6,2.0
2017-01-08,19,WITHDRAWAL,1500.0,1500.0,1.0
2017-01-10,19,WITHDRAWAL,18400.0,19900.0,2.0
2017-01-12,19,WITHDRAWAL,2523.2,22423.2,3.0
2017-01-26,19,WITHDRAWAL,2100.0,2100.0,1.0
2017-01-31,19,WITHDRAWAL,14.6,14.6,1.0
2017-02-12,19,WITHDRAWAL,2523.2,2523.2,1.0
2017-02-17,19,WITHDRAWAL,12800.0,12800.0,1.0
2017-02-28,19,WITHDRAWAL,14.6,14.6,1.0
2017-03-12,19,WITHDRAWAL,2523.2,2523.2,1.0
2017-03-12,19,WITHDRAWAL,18400.0,20923.2,2.0
2017-03-31,19,WITHDRAWAL,14.6,14.6,1.0
2017-04-03,19,WITHDRAWAL,15000.0,15014.6,2.0
2017-04-12,19,WITHDRAWAL,2500.0,2500.0,1.0
2017-04-30,19,WITHDRAWAL,14.6,14.6,1.0
2017-05-22,19,WITHDRAWAL,2300.0,2300.0,1.0
2017-05-26,19,WITHDRAWAL,7200.0,9500.0,2.0
2017-05-31,19,WITHDRAWAL,14.6,14.6,1.0
2017-06-01,19,WITHDRAWAL,18500.0,18514.6,2.0
2017-06-11,19,WITHDRAWAL,1400.0,1400.0,1.0
2017-06-25,19,WITHDRAWAL,5900.0,5900.0,1.0
2017-06-30,19,WITHDRAWAL,14.6,14.6,1.0
2017-07-12,19,WITHDRAWAL,2700.0,2700.0,1.0
2017-07-12,19,WITHDRAWAL,11200.0,13900.0,2.0
2017-07-31,19,WITHDRAWAL,14.6,14.6,1.0
2017-08-10,19,WITHDRAWAL,11800.0,11800.0,1.0
2017-08-16,19,WITHDRAWAL,2200.0,2200.0,1.0
2017-08-30,19,WITHDRAWAL,2600.0,2600.0,1.0
2017-08-31,19,WITHDRAWAL,14.6,2614.6,2.0
