trans_date,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
2013-12-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2013-12-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2013-12-31,35,WITHDRAWAL,14.6,14.6,1.0
2014-01-01,35,WITHDRAWAL,2080.0,2094.6,2.0
2014-01-02,35,WITHDRAWAL,1840.0,3934.6,3.0
2014-01-04,35,WITHDRAWAL,880.0,4814.6,4.0
2014-01-07,35,WITHDRAWAL,560.0,1440.0,2.0
2014-01-08,35,WITHDRAWAL,1120.0,2560.0,3.0
2014-01-09,35,WITHDRAWAL,1362.0,3042.0,3.0
2014-01-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-01-26,35,WITHDRAWAL,2240.0,2240.0,1.0
2014-01-31,35,WITHDRAWAL,14.6,14.6,1.0
2014-02-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-02-09,35,WITHDRAWAL,2160.0,3522.0,2.0
2014-02-13,35,WITHDRAWAL,1022.0,4544.0,3.0
2014-02-17,35,WITHDRAWAL,1200.0,2222.0,2.0
2014-02-28,35,WITHDRAWAL,14.6,14.6,1.0
2014-03-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-03-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-03-28,35,WITHDRAWAL,2160.0,2160.0,1.0
2014-03-31,35,WITHDRAWAL,14.6,2174.6,2.0
2014-04-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-04-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-04-30,35,WITHDRAWAL,14.6,14.6,1.0
2014-05-03,35,WITHDRAWAL,800.0,814.6,2.0
2014-05-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-05-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-05-31,35,WITHDRAWAL,14.6,14.6,1.0
2014-06-02,35,WITHDRAWAL,1500.0,1514.6,2.0
2014-06-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-06-10,35,WITHDRAWAL,5000.0,6362.0,2.0
2014-06-10,35,WITHDRAWAL,3520.0,9882.0,3.0
2014-06-13,35,WITHDRAWAL,1022.0,10904.0,4.0
2014-06-30,35,WITHDRAWAL,14.6,14.6,1.0
2014-07-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-07-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-07-31,35,WITHDRAWAL,14.6,14.6,1.0
2014-08-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-08-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-08-31,35,WITHDRAWAL,14.6,14.6,1.0
2014-09-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-09-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-09-30,35,WITHDRAWAL,14.6,14.6,1.0
2014-09-30,35,WITHDRAWAL,3700.0,3714.6,2.0
2014-10-07,35,WITHDRAWAL,640.0,640.0,1.0
2014-10-09,35,WITHDRAWAL,1362.0,2002.0,2.0
2014-10-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-10-30,35,WITHDRAWAL,500.0,500.0,1.0
2014-10-31,35,WITHDRAWAL,14.6,514.6,2.0
2014-11-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-11-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-11-29,35,WITHDRAWAL,3700.0,3700.0,1.0
2014-11-30,35,WITHDRAWAL,14.6,3714.6,2.0
2014-12-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2014-12-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2014-12-29,35,WITHDRAWAL,5300.0,5300.0,1.0
2014-12-31,35,WITHDRAWAL,14.6,5314.6,2.0
2015-01-01,35,WITHDRAWAL,800.0,6114.6,3.0
2015-01-07,35,WITHDRAWAL,2160.0,2160.0,1.0
2015-01-09,35,WITHDRAWAL,1362.0,3522.0,2.0
2015-01-12,35,WITHDRAWAL,1200.0,2562.0,2.0
2015-01-13,35,WITHDRAWAL,1022.0,3584.0,3.0
2015-01-14,35,WITHDRAWAL,1360.0,3582.0,3.0
2015-01-22,35,WITHDRAWAL,1440.0,1440.0,1.0
2015-01-25,35,WITHDRAWAL,1120.0,2560.0,2.0
2015-01-31,35,WITHDRAWAL,14.6,14.6,1.0
2015-02-09,35,WITHDRAWAL,1362.0,1362.0,1.0
2015-02-13,35,WITHDRAWAL,1022.0,2384.0,2.0
2015-02-28,35,WITHDRAWAL,14.6,14.6,1.0
